08/04/2020 05:26:32 - INFO - __main__ -   SentenceVAE(
  (embedding): Embedding(9877, 300)
  (embedding_dropout): Dropout(p=0.5, inplace=False)
  (encoder_rnn): LSTM(300, 300, num_layers=2, batch_first=True)
  (decoder_rnn): LSTM(300, 300, num_layers=2, batch_first=True)
  (hidden2mean): Linear(in_features=600, out_features=16, bias=True)
  (hidden2logv): Linear(in_features=600, out_features=16, bias=True)
  (latent2hidden): Linear(in_features=16, out_features=600, bias=True)
  (outputs2vocab): Linear(in_features=300, out_features=9877, bias=True)
)
08/04/2020 05:26:32 - INFO - __main__ -   Number of GPU: 1
08/04/2020 05:32:49 - INFO - __main__ -   TRAIN Batch 1200/1314, Loss    4.4652, Recon-Loss    4.4651, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:32:53 - INFO - __main__ -   TRAIN Batch 1300/1314, Loss    4.5363, Recon-Loss    4.5363, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:32:54 - INFO - __main__ -   TRAIN Batch 1314/1314, Loss    4.4388, Recon-Loss    4.4387, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:32:54 - INFO - __main__ -   TRAIN Epoch 06/8, Mean Negative ELBO    4.4847, PPL: 88.6527
08/04/2020 05:32:56 - INFO - __main__ -   VALID Batch 0000/105, Loss    5.6616, Recon-Loss    5.6616, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:32:57 - INFO - __main__ -   VALID Batch 0100/105, Loss    5.3320, Recon-Loss    5.3320, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:32:57 - INFO - __main__ -   VALID Batch 0105/105, Loss    4.2657, Recon-Loss    4.2657, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:32:57 - INFO - __main__ -   VALID Epoch 06/8, Mean Negative ELBO    4.7509, PPL: 115.6885
08/04/2020 05:32:59 - INFO - __main__ -   TRAIN Batch 0000/1314, Loss    4.4419, Recon-Loss    4.4419, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:33:03 - INFO - __main__ -   TRAIN Batch 0100/1314, Loss    4.5576, Recon-Loss    4.5575, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:33:07 - INFO - __main__ -   TRAIN Batch 0200/1314, Loss    4.4749, Recon-Loss    4.4749, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:33:11 - INFO - __main__ -   TRAIN Batch 0300/1314, Loss    4.4313, Recon-Loss    4.4313, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:33:14 - INFO - __main__ -   TRAIN Batch 0400/1314, Loss    4.4863, Recon-Loss    4.4863, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:33:18 - INFO - __main__ -   TRAIN Batch 0500/1314, Loss    4.3412, Recon-Loss    4.3412, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:33:22 - INFO - __main__ -   TRAIN Batch 0600/1314, Loss    4.4644, Recon-Loss    4.4644, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:33:25 - INFO - __main__ -   TRAIN Batch 0700/1314, Loss    4.5454, Recon-Loss    4.5454, KL-Loss    0.0000, KL-Weight  1.000
